#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
     678	SDSS J1456+5702      	 0.4840	14 56 00.78	+57 02 20.3	WL+SL	19.33	12.38	 5.33	  2.510	  0.800	-	 0.710	22.65	14.51	 6.24	  2.690	   0.860	-	 0.760	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1456+5702
     679	SDSS J1632+3500      	 0.4900	16 32 10.26	+35 00 29.7	WL   	10.90	 4.40	 4.40	  5.000	  1.400	-	 1.400	12.70	 5.10	 5.10	  5.400	   1.600	-	 1.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1632+3500
     680	SDSS J1632+3500      	 0.4900	16 32 10.26	+35 00 29.7	WL   	 5.50	 6.12	 2.58	  3.770	  1.550	-	 1.250	 6.53	 7.27	 3.06	  4.220	   1.740	-	 1.400	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1632+3500
     681	SDSS J1632+3500      	 0.4900	16 32 10.26	+35 00 29.7	WL+SL	 7.20	 5.03	 1.73	  3.600	  1.430	-	 1.140	 8.51	 5.94	 2.05	  3.980	   1.580	-	 1.260	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1632+3500
     682	MACS J1311.0-0311    	 0.4940	13 11 01.90	-03 10 36.0	X-ray	 5.01	 0.73	 0.35	 55.110	  4.840	-	 5.580	 5.99	 0.87	 0.42	 62.600	   5.500	-	 6.340	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J1311.0-0311
     683	MACS J1311.0-0311    	 0.4940	13 11 01.90	-03 10 36.0	WL+SL	 4.40	 1.00	 1.00	  4.600	  0.300	-	 0.300	 5.30	 1.10	 1.10	  5.300	   0.400	-	 0.400	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J1311.0-0311
     684	MACS J1311.0-0311    	 0.4940	13 11 01.90	-03 10 36.0	X-ray	 4.42	 1.39	 1.05	  6.220	  3.710	-	 2.150	 5.22	 1.60	 1.22	  7.020	   4.380	-	 2.490	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J1311.0-0311
     685	WARP J0030.5+2618    	 0.5000	00 30 33.20	+26 18 19.0	WL   	 2.00	 1.80	 1.20	  7.200	  3.600	-	 2.900	 2.40	 2.20	 1.40	  8.700	   4.300	-	 3.500	Israel et al. (2010)                	200            	 0.300	 0.700	 0.720	ClG  J0030+2618
     686	SDSS J1152+0930      	 0.5170	11 52 47.38	+09 30 14.7	WL   	 3.10	 1.60	 1.60	  7.000	  2.600	-	 2.600	 3.70	 1.90	 1.90	  8.100	   3.300	-	 3.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J1152+0930
     687	SDSS J1152+0930      	 0.5170	11 52 47.38	+09 30 14.7	WL   	 1.34	 1.07	 0.70	  5.640	  2.800	-	 2.000	 1.66	 1.33	 0.87	  7.240	   3.590	-	 2.570	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1152+0930
     688	SDSS J1152+0930      	 0.5170	11 52 47.38	+09 30 14.7	WL+SL	 2.96	 0.77	 0.55	  4.920	  2.190	-	 1.670	 3.55	 0.92	 0.66	  5.750	   2.560	-	 1.950	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1152+0930
     689	MACS J1423.8+2404    	 0.5430	14 23 47.60	+24 04 40.0	X-ray	 3.33	 0.65	 0.63	 48.210	  4.720	-	 4.710	 3.98	 0.78	 0.75	 55.970	   5.480	-	 5.470	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J1423.8+2404
     690	MACS J1423.8+2404    	 0.5430	14 23 47.60	+24 04 40.0	WL+SL	 4.70	 1.20	 1.20	  5.700	  1.000	-	 1.000	 5.70	 2.80	 2.80	  6.500	   1.100	-	 1.100	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J1423.8+2404
     691	MACS J1423.8+2404    	 0.5430	14 23 47.60	+24 04 40.0	X-ray	 7.69	 0.70	 0.79	  5.280	  1.130	-	 0.760	 8.92	 0.81	 0.91	  5.770	   1.270	-	 0.840	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J1423.8+2404
     692	MACS J1149.5+2223    	 0.5440	11 49 35.10	+22 24 11.0	WL   	 2.70	 0.40	 0.40	 26.600	  4.700	-	 4.700	 3.20	 0.50	 0.50	 31.000	   5.800	-	 5.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J1149.5+2223
     693	MACS J0717.5+3745    	 0.5460	07 17 30.90	+37 45 30.0	WL   	 5.20	 1.20	 1.20	 28.400	  4.100	-	 4.100	 6.10	 1.40	 1.40	 31.700	   5.000	-	 5.000	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J0717.5+3745
     694	MS 0015.9+1609       	 0.5460	00 18 33.80	+16 26 17.0	X-ray	 4.37	     	     	 93.300	       	 	      	 5.11	     	     	105.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 0015.9+1609
     695	MS 0451.6-0305       	 0.5500	04 54 11.10	-03 00 54.0	SL   	 5.50	 0.30	 0.30	 18.000	  2.000	-	 2.000	 6.40	 0.30	 0.30	 20.000	   2.000	-	 2.000	Comerford & Natarajan (2007)        	200    /virial 	 0.300	 0.700	 0.700	MS 0451.6-0305
     696	SDSS J1209+2640      	 0.5610	12 09 23.68	+26 40 46.7	WL   	 6.70	 1.30	 1.30	  7.700	  2.100	-	 2.100	 7.80	 1.50	 1.50	  8.500	   2.400	-	 2.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[SPD2011] 172
     697	SDSS J1209+2640      	 0.5610	12 09 23.68	+26 40 46.7	WL   	 4.89	 3.14	 1.91	  6.190	  2.250	-	 1.810	 5.75	 3.69	 2.25	  6.920	   2.520	-	 2.020	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[SPD2011] 172
     698	SDSS J1209+2640      	 0.5610	12 09 23.68	+26 40 46.7	WL+SL	 6.71	 1.36	 1.07	  5.480	  1.660	-	 1.320	 7.85	 1.59	 1.25	  6.030	   1.830	-	 1.450	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[SPD2011] 172
     699	RX J0848.7+4456      	 0.5700	08 48 47.20	+44 56 17.0	X-ray	 0.82	 0.05	 0.01	  3.320	  0.730	-	 0.770	 1.02	 0.06	 0.01	  4.420	   0.970	-	 1.030	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RX J0848.7+4456
     700	SDSS J1029+2623      	 0.5840	10 29 12.48	+26 23 32.0	WL+SL	22.31	12.24	 6.51	  2.080	  0.540	-	 0.470	25.70	14.10	 7.50	  2.210	   0.570	-	 0.500	Oguri et al. (2013)                 	Virial         	 0.275	 0.725	 0.702	ClG J1029+2623
     701	SDSS J1029+2623      	 0.5840	10 29 12.48	+26 23 32.0	WL   	 9.20	 4.30	 4.30	  2.900	  0.700	-	 0.700	10.60	 4.90	 4.90	  3.100	   0.800	-	 0.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1029+2623
     702	SDSS J1029+2623      	 0.5840	10 29 12.48	+26 23 32.0	WL   	 9.89	12.51	 4.32	  1.850	  0.680	-	 0.560	11.48	14.52	 5.02	  2.000	   0.730	-	 0.600	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1029+2623
     703	SDSS J1029+2623      	 0.5840	10 29 12.48	+26 23 32.0	WL+SL	 9.56	 8.24	 3.59	  1.860	  0.620	-	 0.520	11.09	 9.56	 4.17	  2.020	   0.670	-	 0.570	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1029+2623
     704	SDSS J1315+5439      	 0.5880	13 15 09.30	+54 37 51.8	WL   	12.30	 4.50	 4.50	  5.300	  1.400	-	 1.400	14.10	 5.10	 5.10	  5.700	   1.600	-	 1.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1315+5439
     705	SDSS J1315+5439      	 0.5880	13 15 09.30	+54 37 51.8	WL   	 8.12	13.74	 3.96	  4.060	  1.670	-	 1.340	 9.44	15.97	 4.60	  4.420	   1.820	-	 1.460	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1315+5439
     706	SDSS J1315+5439      	 0.5880	13 15 09.30	+54 37 51.8	WL+SL	 8.32	12.34	 2.43	  4.010	  1.520	-	 1.270	 9.66	14.33	 2.82	  4.370	   1.660	-	 1.380	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1315+5439
     707	MACS J2129.4-0741    	 0.5890	21 29 26.20	-07 41 26.0	X-ray	 1.70	 0.38	 0.41	 96.660	 10.260	-	10.150	 2.05	 0.46	 0.49	117.610	  12.480	-	12.350	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J2129.4-0741
     708	MACS J0647.7+7015    	 0.5900	06 47 50.50	+70 14 55.0	WL   	 7.30	 2.60	 2.60	 11.400	  3.000	-	 3.000	 8.40	 3.00	 3.00	 12.500	   3.500	-	 3.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J0647.7+7015
     709	MACS J0647.7+7015    	 0.5900	06 47 50.50	+70 14 55.0	X-ray	 1.00	 0.12	 0.11	 89.510	 10.140	-	 9.280	 1.23	 0.15	 0.14	115.370	  13.070	-	11.960	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J0647.7+7015
     710	SDSS J1050+0017      	 0.6000	10 50 39.90	+00 17 07.1	WL   	10.10	 4.30	 4.30	  7.700	  1.900	-	 1.900	11.60	 4.90	 4.90	  8.300	   2.200	-	 2.200	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1050+0017
     711	SDSS J1050+0017      	 0.6000	10 50 39.90	+00 17 07.1	WL   	 6.22	 4.59	 2.29	  6.220	  1.790	-	 1.550	 7.24	 5.34	 2.67	  6.840	   1.970	-	 1.710	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1050+0017
     712	SDSS J1050+0017      	 0.6000	10 50 39.90	+00 17 07.1	WL+SL	 6.15	 4.17	 1.80	  6.210	  1.790	-	 1.500	 7.16	 4.86	 2.09	  6.840	   1.970	-	 1.650	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1050+0017
     713	SDSS J1420+3955      	 0.6070	14 20 40.33	+39 55 09.8	WL   	 4.30	 1.10	 1.10	  8.900	  2.700	-	 2.700	 5.00	 1.30	 1.30	 10.000	   3.200	-	 3.200	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J1420+3955
     714	SDSS J1420+3955      	 0.6070	14 20 40.33	+39 55 09.8	WL   	 8.24	 5.44	 2.86	  6.360	  2.020	-	 1.650	 9.55	 6.30	 3.31	  6.920	   2.200	-	 1.790	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1420+3955
     715	SDSS J1420+3955      	 0.6070	14 20 40.33	+39 55 09.8	WL+SL	 3.90	 1.13	 0.84	  6.730	  2.240	-	 1.800	 4.57	 1.32	 0.98	  7.590	   2.530	-	 2.030	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1420+3955
     716	3C 220.1             	 0.6200	09 32 39.60	+79 06 32.0	SL   	 4.30	 0.20	 0.20	  3.100	  0.300	-	 0.300	 5.00	 0.20	 0.20	  3.500	   0.300	-	 0.300	Comerford & Natarajan (2007)        	200    /virial 	 0.300	 0.700	 0.700	3C 220.1
     717	SDSS J2111-0114      	 0.6380	21 11 19.34	-01 14 23.5	SL   	13.90	20.90	 8.80	  5.100	 12.100	-	 2.500	16.00	24.00	10.10	  5.500	  13.000	-	 2.700	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	ClG J2111-0115
     718	SDSS J2111-0114      	 0.6380	21 11 19.34	-01 14 23.5	WL   	12.20	22.40	 8.20	  8.500	  3.800	-	 3.000	14.10	25.90	 9.50	  9.200	   4.100	-	 3.200	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	ClG J2111-0115
     719	SDSS J2111-0114      	 0.6380	21 11 19.34	-01 14 23.5	WL+SL	12.20	22.40	 8.00	  8.500	  3.800	-	 3.000	14.10	25.90	 9.30	  9.200	   4.100	-	 3.200	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	ClG J2111-0115
     720	SDSS J2111-0114      	 0.6380	21 11 19.34	-01 14 23.5	WL   	 5.10	 3.80	 3.80	  5.700	  2.700	-	 2.700	 5.90	 4.30	 4.30	  6.300	   3.200	-	 3.200	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J2111-0115
     721	SDSS J2111-0114      	 0.6380	21 11 19.34	-01 14 23.5	WL   	 1.59	 1.40	 0.84	  4.920	  2.110	-	 1.750	 1.91	 1.68	 1.01	  6.030	   2.580	-	 2.140	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J2111-0115
     722	SDSS J2111-0114      	 0.6380	21 11 19.34	-01 14 23.5	WL+SL	 4.11	 2.71	 1.39	  4.690	  2.170	-	 1.730	 4.79	 3.16	 1.62	  5.250	   2.430	-	 1.940	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J2111-0115
     723	RCS J1419.2+5326     	 0.6400	14 19 12.00	+53 26 00.0	X-ray	 6.24	 0.73	 0.71	 12.910	  1.640	-	 1.720	 7.25	 0.85	 0.82	 14.250	   1.810	-	 1.900	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J1419.2+5326
     724	SDSS J1110+6459      	 0.6590	11 10 17.70	+64 59 47.8	WL   	12.20	 4.90	 4.90	  4.400	  1.900	-	 1.900	13.90	 5.50	 5.50	  4.700	   2.100	-	 2.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1110+6459
     725	SDSS J1110+6459      	 0.6590	11 10 17.70	+64 59 47.8	WL   	31.55	 3.45	24.16	  1.970	  2.050	-	 0.640	35.89	 3.92	27.48	  2.070	   2.150	-	 0.670	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1110+6459
     726	SDSS J1110+6459      	 0.6590	11 10 17.70	+64 59 47.8	WL+SL	19.61	15.26	13.75	  2.130	  2.270	-	 0.900	22.39	17.42	15.70	  2.260	   2.410	-	 0.960	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1110+6459
     727	SDSS J1004+4112      	 0.6800	10 04 34.18	+41 12 43.5	WL   	 8.50	 4.40	 4.40	  2.600	  1.900	-	 1.900	 9.70	 4.90	 4.90	  2.800	   2.100	-	 2.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1004+4112
     728	SDSS J1004+4112      	 0.6800	10 04 34.18	+41 12 43.5	WL   	 3.81	26.08	 3.22	  2.520	  3.880	-	 1.720	 4.42	30.26	 3.74	  2.820	   4.340	-	 1.920	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1004+4112
     729	SDSS J1004+4112      	 0.6800	10 04 34.18	+41 12 43.5	WL+SL	 7.24	10.33	 2.72	  2.030	  2.210	-	 1.310	 8.32	11.87	 3.13	  2.210	   2.410	-	 1.430	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1004+4112
     730	SDSS J1004+4112      	 0.6800	10 04 34.18	+41 12 43.5	SL   	 5.00	     	     	  3.870	       	 	      	 6.00	     	     	  4.250	        	 	      	Williams & Saha (2004)              	200            	 0.300	 0.700	 0.700	ClG J1004+4112
     731	MACS J0744.9+3927    	 0.6860	07 44 52.50	+39 27 27.0	WL   	 7.10	 2.60	 2.60	 12.900	  3.300	-	 3.300	 8.10	 2.90	 2.90	 14.000	   3.800	-	 3.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J0744.9+3927
     732	MACS J0744.9+3927    	 0.6860	07 44 52.50	+39 27 27.0	X-ray	 1.01	 0.37	 0.16	106.480	  8.820	-	 6.180	 1.22	 0.45	 0.19	134.020	  11.100	-	 7.780	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J0744.9+3927
     733	MACS J0744.9+3927    	 0.6860	07 44 52.50	+39 27 27.0	WL+SL	 4.10	 1.00	 1.00	  7.000	  0.400	-	 0.400	 4.80	 1.10	 1.10	  7.900	   0.400	-	 0.400	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J0744.9+3927
     734	MACS J0744.9+3927    	 0.6860	07 44 52.50	+39 27 27.0	X-ray	 4.32	 1.43	 1.06	  8.830	  4.840	-	 3.160	 4.95	 1.61	 1.20	  9.780	   5.600	-	 3.580	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J0744.9+3927
     735	RX J1221.4+4918      	 0.7000	12 21 24.50	+49 18 13.0	X-ray	 2.39	 0.37	 0.35	 46.640	  5.220	-	 3.490	 2.81	 0.44	 0.41	 54.230	   6.070	-	 4.060	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RX J1221.4+4918
     736	RX J1113.1-2615      	 0.7200	11 13 05.20	-26 15 26.0	X-ray	 3.28	 0.73	 0.71	  5.300	  0.730	-	 0.480	 3.81	 0.85	 0.82	  6.020	   0.830	-	 0.550	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RX J1113.1-2615
     737	RCS J1107.3-0523     	 0.7350	11 07 22.80	-05 23 49.0	X-ray	 3.15	 0.56	 0.45	  5.270	  0.740	-	 0.450	 3.66	 0.65	 0.52	  5.990	   0.840	-	 0.510	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J1107-0523
     738	RCS J0224-0002       	 0.7780	02 24 00.00	-00 02 00.0	X-ray	 2.78	 0.25	 0.25	 10.510	  1.110	-	 1.280	 3.22	 0.29	 0.29	 11.990	   1.270	-	 1.460	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J0224-0002
     739	CLG 1137.5+6625      	 0.7800	11 40 23.90	+66 08 19.0	WL   	 3.60	 1.90	 1.90	  9.300	  4.600	-	 4.600	 4.10	 2.10	 2.10	 10.400	   5.400	-	 5.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG 1137.5+6625
     740	RCS J2318.5+0034     	 0.7800	23 18 31.50	+00 34 18.0	X-ray	 1.18	 0.19	 0.17	 28.370	  4.110	-	 3.180	 1.40	 0.23	 0.20	 34.490	   5.000	-	 3.870	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J2318.5+0034
     741	MS 1137.5+6625       	 0.7830	11 40 23.90	+66 08 19.0	SL   	 3.30	 0.20	 0.20	  6.500	  0.700	-	 0.700	 3.80	 0.20	 0.20	  7.200	   0.800	-	 0.800	Comerford & Natarajan (2007)        	200/virial     	 0.300	 0.700	 0.700	MS 1137.5+6625
     742	RX J1716.6+6708      	 0.8100	17 16 49.60	+67 08 30.0	WL   	 5.00	 4.70	 4.70	  5.000	  3.400	-	 3.400	 5.70	 5.20	 5.20	  5.500	   4.000	-	 4.000	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RX J1716.6+6708
     743	MS 1054-0321         	 0.8300	10 56 59.50	-03 37 28.0	WL   	 0.90	 0.80	 0.80	 23.000	 16.400	-	16.400	 1.10	 0.90	 0.90	 28.100	  22.500	-	22.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG 1054-03
     744	CL J0152-1357        	 0.8400	01 52 41.00	-13 57 45.0	WL   	11.30	 3.90	 3.90	  2.900	  0.600	-	 0.600	12.60	 4.30	 4.30	  3.100	   0.700	-	 0.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J0152-1358
     745	RCS J1620.2+2929     	 0.8700	16 20 12.00	+29 29 00.0	X-ray	 4.38	 0.72	 0.71	  7.570	  1.020	-	 1.040	 4.98	 0.82	 0.81	  8.350	   1.130	-	 1.150	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J1620.2+2929
     746	CL J1226.9+3332      	 0.8900	12 26 58.00	+33 32 54.0	WL   	 4.30	 1.10	 1.10	 10.100	  2.300	-	 2.300	 4.80	 1.20	 1.20	 11.100	   2.600	-	 2.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1226+3332
     747	CL J1226.9+3332      	 0.8900	12 26 58.00	+33 32 54.0	WL+SL	 4.00	 0.90	 0.90	 15.600	  1.000	-	 1.000	 4.50	 1.10	 1.10	 17.200	   1.100	-	 1.100	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	ClG J1226+3332
     748	CL J1226.9+3332      	 0.8900	12 26 58.00	+33 32 54.0	X-ray	 2.04	 0.32	 0.36	143.190	 15.260	-	17.260	 2.35	 0.37	 0.41	164.380	  17.520	-	19.810	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	ClG J1226+3332
     749	CL J1226.9+3332      	 0.8900	12 26 58.00	+33 32 54.0	X-ray	 7.90	 1.70	 1.40	  6.800	  1.600	-	 1.200	 8.80	 1.90	 1.50	  7.200	   1.700	-	 1.300	Maughan et al. (2007)               	200            	 0.300	 0.700	 0.700	ClG J1226+3332
     750	CL J1604+4304        	 0.9000	16 04 25.10	+43 04 53.0	WL   	 9.40	 5.80	 5.80	  4.000	  2.400	-	 2.400	10.50	 6.40	 6.40	  4.200	   2.600	-	 2.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1604+4304
     751	RCS J2319.8+0038     	 0.9040	23 19 53.30	+00 38 13.0	X-ray	 3.27	 0.56	 0.55	 40.960	  4.250	-	 5.220	 3.72	 0.64	 0.63	 45.740	   4.750	-	 5.830	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J2319.8+0038
     752	RCS J2319.8+0038     	 0.9040	23 19 53.30	+00 38 13.0	WL   	11.50	 4.80	 4.80	  2.400	  0.900	-	 0.900	12.80	 5.30	 5.30	  2.500	   1.000	-	 1.000	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RCS J2319.8+0038
     753	RCS J0439-2904       	 0.9510	04 39 38.00	-29 04 55.0	WL   	 7.30	 4.90	 4.90	  3.000	  1.300	-	 1.300	 8.10	 5.40	 5.40	  3.200	   1.500	-	 1.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RCS J0439-2904
     754	RCS J0439-2904       	 0.9510	04 39 38.00	-29 04 55.0	X-ray	 4.12	 0.25	 0.21	  3.790	  0.560	-	 0.270	 4.65	 0.28	 0.24	  4.170	   0.620	-	 0.300	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RCS J0439-2904
     755	XMMU J1230.3+1339    	 0.9700	12 30 17.00	+13 39 01.0	WL   	 4.00	14.00	 2.00	  8.800	  4.200	-	 4.200	 4.50	15.80	 2.30	  9.700	   4.600	-	 4.600	Lerchster et al. (2011)             	200            	 0.270	 0.730	 0.720	XMMU J1230.3+1339
     756	XMMU J1230.3+1339    	 0.9700	12 30 17.00	+13 39 01.0	WL   	 2.10	 2.10	 2.10	 24.400	 15.400	-	15.400	 2.40	 2.30	 2.30	 27.500	  18.800	-	18.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	XMMU J1230.3+1339
     757	RCS J1511.0+0903     	 0.9700	15 11 03.80	+09 03 15.0	WL   	11.40	 5.50	 5.50	  1.600	  0.700	-	 0.700	12.60	 6.00	 6.00	  1.700	   0.800	-	 0.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RCS J1511.0+0903
