#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
NGC 5443  	(R'L)SAB_x(\underline{r}s)a sp               	(R'L)SAB(rs)a                                	 1.0	 0.50	(R'L)SAB_x_(rs)a sp                                      	G	210.54927	+55.81404
NGC 5448  	(R_1_)SAB(\underline{r}s)a                   	(R_1_L)SAB_x(\underline{r}s)a                	 1.0	 0.50	(R_1_L)SAB_x_(\underline{r}s)a                           	G	210.70863	+49.17265
UGC 8988  	Scd: sp                                      	Sd sp / E(d)8                                	 6.5	     	Sc\underline{d}: sp / E(d)8                              	 	210.83472	+60.99023
NGC 5457  	S\underline{A}B(r\underline{s})c             	S\underline{A}B(rs)c                         	 5.0	 0.25	S\underline{A}B(rs)c                                     	M	210.80243	+54.34875
NGC 5426  	S\underline{A}B(rs)c                         	SA(s)c                                       	 5.0	 0.12	SA(r\underline{s})c                                      	M	210.85356	-06.06910
NGC 5427  	SA(r)bc                                      	SA(r)bc                                      	 4.0	 0.00	SA(r)bc                                                  	G	210.85854	-06.03081
UGC 8995  	(R':)SA(s)cd:                                	SA(s)cd                                      	 6.0	 0.00	(R':)SA(s)cd:                                            	F	211.19742	+08.80108
ESO 510-58	(R')SAB(s)m                                  	(R')S\underline{A}B(rs)m                     	 9.0	 0.38	(R')SAB(r\underline{s})m                                 	F	211.15575	-24.83315
NGC 5473  	(L)SB0^-^                                    	SAB0^-^                                      	-3.0	 0.75	(L)SA\underline{B}0^-^                                   	 	211.18017	+54.89262
ESO 510-59	SB(r\underline{s})c                          	SB(r\underline{s})c                          	 5.0	 1.00	SB(r\underline{s})c                                      	G	211.19310	-24.82704
NGC 5474  	SA(s)m                                       	SA(s)m                                       	 9.0	 0.00	SA(s)m                                                   	F	211.25670	+53.66221
PGC 50229 	IABm [dS0] / Sph                             	Im [SA(l)0^o^] / Sph                         	10.0	 0.25	I\underline{A}B(l:)m / Sph                               	 	211.29680	-03.36986
NGC 5477  	dIm/dSph                                     	dIm                                          	10.0	     	dIm                                                      	 	211.38792	+54.46111
NGC 5480  	SA(s)c                                       	SAB(s)dm [0/a]                               	 6.5	 0.25	S\underline{A}B(s)c\underline{d} [0/a]                   	M	211.58967	+50.72500
NGC 5470  	S0^o^[d] sp                                  	S0^o^[d] sp / E(d)8                          	-2.0	     	S0^o^[d] sp / E(d)8                                      	 	211.63333	+06.02941
NGC 5468  	S\underline{A}B(s)cd                         	S\underline{A}B(s)c                          	 5.5	 0.25	S\underline{A}B(s)\underline{c}d                         	M	211.64532	-05.45316
NGC 5481  	E^+^2-3                                      	E2-3                                         	-4.5	     	E/E^+^2-3                                                	 	211.67172	+50.72332
NGC 5472  	(R')SAB_a0/a                                 	(R')SA(r)a sp                                	 0.5	 0.25	(R')S\underline{A}B_a_(r)0/\underline{a} sp              	 	211.72930	-05.46054
NGC 5464  	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	211.76832	-30.01709
NGC 5486  	SAB(s)d                                      	(L)S\underline{A}B(s)dm                      	 7.5	 0.38	(L)SAB(s)\underline{d}m                                  	F	211.85428	+55.10292
NGC 5476  	S\underline{A}B(s)c                          	SAB(s)cd                                     	 5.5	 0.38	SAB(s)\underline{c}d                                     	F	212.03531	-06.09201
UGC 9056  	SB(s)d sp                                    	Im sp                                        	 8.5	 1.00	SB:(s:)d\underline{m} sp                                 	 	212.33887	+49.03882
UGC 9071  	SAB(s)b sp                                   	SAB(s)bc sp                                  	 3.5	 0.50	SAB(s)\underline{b}c sp                                  	 	212.51274	+54.21854
UGC 9057  	SB(s)d pec                                   	SB(s)d pec                                   	 7.0	 1.00	SB(s)d pec                                               	 	212.55392	-02.57569
NGC 5492  	SA(rs)b: sp                                  	Sb sp / E(d)6                                	 3.0	 0.00	SA:(rs:)b: sp / E(d)6                                    	 	212.64662	+19.61235
NGC 5496  	SB(s)d sp                                    	SB(s)d sp                                    	 7.0	 1.00	SB(s)d sp                                                	 	212.90773	-01.15872
NGC 5520  	SA(l)bc                                      	SA(l)bc                                      	 4.0	 0.00	SA(l)bc                                                  	M	213.09491	+50.34843
NGC 5506  	S0/a: sp pec                                 	SB(AGN)0/a pec sp                            	 0.0	 1.00	S0/a: (AGN) sp pec                                       	 	213.31209	-03.20756
NGC 5507  	S\underline{A}B0^-^                          	SA0^-^                                       	-3.0	 0.12	SA0^-^                                                   	 	213.33282	-03.14886
PGC 50803 	SB(rs)a                                      	SB(rs)ab                                     	 1.5	 1.00	SB(rs)\underline{a}b                                     	 	213.45772	+57.76964
NGC 5526  	SAB(s)d sp                                   	Sc sp                                        	 6.0	 0.50	SAB:(s:)cd sp                                            	 	213.47386	+57.77132
NGC 5523  	SA(rs)cd                                     	SB(s)dm sp                                   	 7.0	 0.50	SAB(r\underline{s})d sp                                  	 	213.71796	+25.31761
UGC 9126  	dIm                                          	IAB(s)m                                      	10.0	 0.50	IAB:(s:)m                                                	F	213.91950	+16.54903
UGC 9128  	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	213.98625	+23.05450
PGC1059326	SB                                           	SABd:                                        	 7.0	 0.50	SABd:                                                    	 	213.81993	-04.35886
NGC 5529  	SB_xa sp                                     	SB_xb spw                                    	 2.0	 1.00	SB_x_ab spw                                              	 	213.89261	+36.22698
PGC1063216	SAB(s)c:                                     	S\underline{A}B(s)cd:                        	 5.5	 0.38	SAB(s)\underline{c}d:                                    	F	213.94600	-04.07550
NGC 5534  	(R'L)SB(r\underline{s})a pec                 	(R'L)SA\underline{B}(s)a                     	 1.0	 0.88	(R'L)SB(s)a pec                                          	G	214.41774	-07.41751
UGC 9169  	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	214.93599	+09.36235
NGC 5585  	S\underline{A}B(s)cd:                        	SA(s)m                                       	 7.5	 0.12	SA(s)\underline{d}m:                                     	F	214.95085	+56.72905
NGC 5560  	SB(s)d spw                                   	SB(s)d spw                                   	 7.0	 1.00	SB(s)d spw                                               	G	215.01874	+03.99265
NGC 5566  	(R')SAB(r,nr')a                              	(R'L)SB(r,nrl)a                              	 1.0	 0.75	(\underline{R}'L)SA\underline{B}(r,nrl)a                 	G	215.08312	+03.93359
NGC 5569  	SB(s)m: pec                                  	SAB(s)m:                                     	 9.0	 0.75	SA\underline{B}(s)m: pec                                 	F	215.13399	+03.98318
NGC 5574  	SB(s)0/a pec                                 	SB(s)0/a:                                    	 0.0	 1.00	SB(s)0/a: pec                                            	 	215.23311	+03.23799
NGC 5576  	E3 (shells) or SA0/a pec                     	E3 pec                                       	-5.0	 0.00	E3 pec                                                   	 	215.26538	+03.27105
NGC 5577  	SA(rs)cd                                     	SA(\underline{r}s)d                          	 6.5	 0.00	SA(rs)c\underline{d}                                     	F	215.30462	+03.43577
PGC 51291 	IBm                                          	IB(s)m                                       	10.0	 1.00	IB(s:)m                                                  	 	215.34282	-03.75883
NGC 5587  	SA(r)0/a                                     	SA(\underline{r}s)0/a                        	 0.0	 0.00	SA(r)0/a                                                 	G	215.54474	+13.91794
NGC 5602  	(RL)SA(l)0^+^                                	(RL)SA(l)0^+^                                	-1.0	 0.00	(RL)SA(l)0^+^                                            	 	215.57847	+50.50142
NGC 5584  	SB(r\underline{s})cd                         	SB(rs)d                                      	 6.5	 1.00	SB(rs)c\underline{d}                                     	M	215.59921	-00.38745
UGC 9206  	IBm                                          	Im / Sph                                     	10.0	 1.00	IB:m / Sph                                               	 	215.61411	+15.08714
NGC 5608  	IAB(s)m                                      	IABm                                         	10.0	 0.50	IAB(s:)m                                                 	 	215.82404	+41.77536
UGC 9215  	(R')SB(r\underline{s})cd                     	SB(rs)dm                                     	 7.0	 1.00	(R')SB(rs)d                                              	F	215.86317	+01.72619
IC 4407   	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	F	215.90373	-05.98328
NGC 5600  	SB(rs)dm                                     	SB(rs)dm pec                                 	 8.0	 1.00	SB(rs)dm pec                                             	F	215.95642	+14.63874
NGC 5595  	SAB(r\underline{s})cd                        	SAB(s)cd                                     	 6.0	 0.50	SAB(s)cd                                                 	M	216.05517	-16.72297
NGC 5597  	SB(s)c                                       	(R')SB(s)dm                                  	 6.5	 1.00	(R')SB(s)c\underline{d}                                  	M	216.11435	-16.76269
NGC 5604  	S\underline{A}B(s)bc                         	SA(s)bc                                      	 4.0	 0.12	SA(s)bc                                                  	M	216.17836	-03.21214
